id;type;name;link;description;icon;longitude;latitude
94;Feature;Lubango 1 Pump;;;PumpSVG-04;13.481258;-14.934014
95;Feature;Lubango 2 Pump;;;PumpSVG-03;13.518742;-14.923419
96;Feature;Lubango 3 Pump;;;PumpSVG-03;13.550483;-14.920828
97;Feature;Ya - school Pump;;;PumpSVG-02;-3.17288;11.38618
98;Feature;Nefrelaye Pump;;;PumpSVG-02;-4.03773;11.43485
99;Feature;Fina Pump;;;PumpSVG-02;-4.04413;11.56383
100;Feature;Peni school Pump;;;PumpSVG-02;-4.4706;10.9505
101;Feature;Mandinari Pump;;;PumpSVG-02;-16.602308;13.371917
102;Feature;Lang Sarr Pump;;;PumpSVG-03;-15.627197;13.585381
103;Feature;Ker Sait Cham Pump;;;PumpSVG-03;-16.35322;13.48615
104;Feature;Brikama Jamie Pump;;;PumpSVG-04;-13.837436;13.419125
105;Feature;Omorthoh Pump;;;PumpSVG-02;-16.52407;13.17078
106;Feature;Sare Bojo Pump;;;PumpSVG-02;-14.45251;13.29876
107;Feature;Sung Kunda school Pump;;;PumpSVG-04;-13.85176;13.37981
108;Feature;Fatoto health Centre Pump;;;PumpSVG-04;-13.89159;13.39989
109;Feature;Fatoto school Pump;;;PumpSVG-02;-13.891294;13.403389
110;Feature;Kanuma school Pump;;;PumpSVG-02;-16.505553;13.494386
111;Feature;Njawara School Pump;;;PumpSVG-03;-16.0765;13.573
112;Feature;Busura Health Centre Pump;;;PumpSVG-02;-16.62984;13.19399
113;Feature;Niamey school Pump;;;PumpSVG-04;2.112516;13.512668
114;Feature;Juba School 1 Pump;;;PumpSVG-04;31.5176;4.8644
115;Feature;Mambo 01 Tema Pump;;;PumpSVG-03;38.23851;-4.54168
116;Feature;Inonelwa Shuleni Pump;;;PumpSVG-03;32.63204;-4.95207
117;Feature;Sanex 001;;;PumpSVG-02;-16.45975;13.17774
118;Feature;Sanex 002;;;PumpSVG-02;-16.71215;13.27784
119;Feature;Sanex 004;;;PumpSVG-02;-14.21967;13.47112
120;Feature;Sanex 006;;;PumpSVG-02;-16.34406;13.50517
121;Feature;Sanex 007;;;PumpSVG-02;-16.75477;13.31014
122;Feature;Sanex 008;;;PumpSVG-03;-16.24834;13.50929
123;Feature;Sanex 009;;;PumpSVG-03;-16.04755;13.56187
124;Feature;Sanex 010;;;PumpSVG-04;-16.02267;13.56209
125;Feature;Sanex 011;;;PumpSVG-02;-16.73425;13.30604
126;Feature;Sanex 012;;;PumpSVG-02;-16.37506;13.56027
127;Feature;Sanex 013;;;PumpSVG-04;-16.47949;13.24529
128;Feature;Sanex 014;;;PumpSVG-04;-16.282733;13.523333
129;Feature;Sanex 015;;;PumpSVG-02;-16.491975;13.182881
130;Feature;Sanex 017;;;PumpSVG-02;-16.558392;13.279103
